DATE,1-Yr,2-Yr,3-Yr,5-Yr,10-Yr
3/1/2007,2.7976602,2.64337290,2.55939160,,2.45944150
4/1/2007,2.7184483,2.61038510,2.54678150,,2.47860220
5/1/2007,2.9243064,2.71372920,2.62235780,,2.52448100
6/1/2007,3.214615,2.93008430,2.81527650,,2.67181960
7/1/2007,2.614408,2.62886020,2.62387760,,2.63992930
8/1/2007,2.6534371,2.58011230,2.53230220,,2.48981740
9/1/2007,2.5740481,2.48579130,2.43745290,,2.41152170
10/1/2007,2.2920506,2.34380040,2.36284860,,2.45205430
11/1/2007,2.6320037,2.51988190,2.45176820,,2.38405530
12/1/2007,2.5437758,2.33080790,2.22877030,,2.14704270
1/1/2008,2.466622,2.28532590,2.20712950,,2.17466600
2/1/2008,2.2977869,2.10384900,2.04069840,,2.07257330
3/1/2008,1.9336763,1.86952180,1.84689130,,1.94129780
4/1/2008,2.0175043,1.92117710,1.89785100,,2.00110920
5/1/2008,2.2868435,2.15350280,2.12832990,,2.22015590
6/1/2008,2.7285115,2.43647710,2.34077230,,2.30346550
7/1/2008,2.9490198,2.55534950,2.42630680,,2.34307800
8/1/2008,3.0525448,2.59154720,2.44486800,,2.34712430
9/1/2008,2.7309252,2.37158540,2.25603000,,2.20969560
10/1/2008,1.6072395,1.80296980,1.88128290,,2.10668210
11/1/2008,0.78457206,1.38175190,1.59571830,,2.00720920
12/1/2008,0.28299557,0.90262758,1.11982270,,1.58069810
1/1/2009,0.47357505,0.99968559,1.19048640,,1.62130400
2/1/2009,0.38164688,0.98104291,1.20087630,,1.67010250
3/1/2009,-0.48067803,0.55547583,0.93470595,,1.63276550
4/1/2009,1.2289362,1.36802560,1.43163920,,1.69626530
5/1/2009,1.2972457,1.47679590,1.56433980,,1.85709460
6/1/2009,1.2745119,1.55617640,1.68090710,,2.00732660
7/1/2009,1.5522347,1.69577570,1.77531290,,2.04202410
8/1/2009,2.0245319,1.93790790,1.93794270,,2.09349210
9/1/2009,2.3608109,2.07147130,2.00175200,,2.06881710
10/1/2009,1.6283633,1.66903480,1.71623150,,1.95615550
11/1/2009,1.8070337,1.78698000,1.81475840,,2.02336260
12/1/2009,1.7866037,1.71209510,1.71781550,,1.90640850
1/1/2010,1.6957593,1.76849880,1.83344400,,2.09113250
2/1/2010,1.7316171,1.74301960,1.78446490,,2.01655290
3/1/2010,1.9701388,1.84677660,1.83994830,,2.00675990
4/1/2010,1.587202,1.71083850,1.78969360,,2.06312750
5/1/2010,1.562963,1.67794210,1.75259980,,2.02340550
6/1/2010,1.3532178,1.50343800,1.58685720,,1.88113190
7/1/2010,0.96279857,1.24198200,1.36715930,,1.73047090
8/1/2010,1.3411201,1.40282200,1.45006720,,1.70868110
9/1/2010,0.90713698,1.13161400,1.23436800,,1.58076200
10/1/2010,1.3652619,1.33787530,1.35063420,,1.57423670
11/1/2010,1.3962369,1.33372490,1.33451020,,1.54606380
12/1/2010,1.4938723,1.46726840,1.48158190,,1.69451930
1/1/2011,1.7900451,1.77890400,1.79836240,,1.96700540
2/1/2011,1.9547432,1.86886870,1.86141320,,1.99015150
3/1/2011,2.1063793,1.97201950,1.94818120,,2.04833500
4/1/2011,2.0757372,1.98332950,1.97727100,,2.09921500
5/1/2011,2.292302,2.04336380,1.98016240,,2.03229300
6/1/2011,2.1177045,1.88457430,1.82410560,,1.89412200
7/1/2011,2.432348,2.08020720,1.98021640,,1.98897340
8/1/2011,1.5113148,1.51340290,1.53412310,,1.73136420
9/1/2011,1.008876,1.18124530,1.26086040,,1.55831050
10/1/2011,1.4656093,1.40650780,1.40419020,,1.58833610
11/1/2011,1.5052488,1.43509880,1.42974670,,1.60858420
12/1/2011,1.7116627,1.55048190,1.51244400,,1.64221250
1/1/2012,1.4714419,1.41549800,1.41503570,,1.60117440
2/1/2012,1.5014226,1.40059950,1.38155820,,1.54588620
3/1/2012,1.3620536,1.35717390,1.37289620,,1.58014750
4/1/2012,1.6869361,1.54522270,1.51353070,,1.64972010
5/1/2012,1.5903147,1.45638310,1.42133770,,1.55534380
6/1/2012,0.78930567,1.00546310,1.09499230,,1.41563580
7/1/2012,1.2966497,1.27633830,1.28305840,,1.48527890
8/1/2012,1.3700924,1.31439550,1.30509790,,1.48040900
9/1/2012,1.9315046,1.60197670,1.49431970,,1.52924920
10/1/2012,1.6131067,1.43621800,1.38488440,,1.50265040
11/1/2012,1.6632266,1.47227020,1.41426120,,1.51795080
12/1/2012,2.1029068,1.67801950,1.53642550,,1.52626190
1/1/2013,1.3155854,1.29374530,1.29705460,,1.48905590
2/1/2013,1.3608065,1.34786040,1.35300430,,1.53819460
3/1/2013,1.0049408,1.11186210,1.15774920,,1.41188580
4/1/2013,1.4563149,1.34749580,1.31686670,,1.46184350
5/1/2013,1.1780254,1.18758900,1.20067780,,1.41384880
6/1/2013,1.3532103,1.34662570,1.35640580,,1.55034420
7/1/2013,1.0030329,1.22957530,1.32689170,,1.63456800
8/1/2013,1.797427,1.66201220,1.63293130,,1.75807970
9/1/2013,2.202423,1.90873090,1.82608620,,1.86880060
10/1/2013,1.5555239,1.53758740,1.54752000,,1.72469340
11/1/2013,1.4505754,1.48016590,1.50901560,,1.71630450
12/1/2013,1.9240314,1.73408970,1.68662350,,1.78513890
1/1/2014,1.6382453,1.63555630,1.65845030,,1.84900710
2/1/2014,1.5858281,1.56573350,1.58078190,,1.76908380
3/1/2014,1.2194617,1.38282810,1.46384810,,1.74519380
4/1/2014,1.653011,1.65623640,1.68217060,,1.87485000
5/1/2014,1.76839,1.70654380,1.70859260,,1.86879020
6/1/2014,1.5265458,1.57269300,1.61311270,,1.83009010
7/1/2014,1.8594911,1.75384150,1.74143930,,1.88238070
8/1/2014,1.8065541,1.73765740,1.73392190,,1.87907410
9/1/2014,2.1150395,1.89628230,1.84043890,,1.91311830
10/1/2014,1.6022445,1.63726880,1.67210410,,1.87270960
11/1/2014,1.321155,1.48209980,1.55818410,,1.81574370
12/1/2014,2.1860996,1.90050340,1.81649400,,1.85213750
1/1/2015,0.91604112,1.25126010,1.37657760,,1.69437040
2/1/2015,0.38334206,0.90803706,1.10137670,,1.53395260
3/1/2015,0.79843856,1.19057230,1.34188060,,1.70348730
4/1/2015,1.5899931,1.55363330,1.55341280,,1.71228540
5/1/2015,1.7028274,1.64798470,1.64457050,,1.79376700
6/1/2015,1.7750546,1.69511420,1.68477850,,1.82403560
7/1/2015,1.8011251,1.73683440,1.73507900,,1.88295110
8/1/2015,1.7247986,1.66499230,1.66332930,,1.81778500
9/1/2015,1.92835583,1.77111202,1.73447962,,1.83859304
10/1/2015,1.3119821,1.43036230,1.49221830,,1.74259510
11/1/2015,1.3066673,1.46004440,1.53676760,,1.80292600
12/1/2015,1.46795515,1.54426566,1.59141793,,1.81273123
1/1/2016,1.47498776,1.56591799,1.62049185,,1.85042813
2/1/2016,1.11589387,1.32438879,1.41600790,,1.70716940
3/1/2016,0.78224551,1.13880477,1.28209371,,1.64890624
4/1/2016,1.68966418,1.60181803,1.58302668,,1.71603963
5/1/2016,1.66012215,1.60055369,1.59551464,,1.74893221
6/1/2016,1.28116185,1.41347644,1.47635487,,1.72374515
7/1/2016,1.64813436,1.52588979,1.49643904,,1.63004592
8/1/2016,1.5900866,1.50597183,1.49209539,,1.64768851
9/1/2016,2.06443724,1.77030130,1.68219280,,1.72789683
10/1/2016,1.74399736,1.60811718,1.57723947,,1.70459005
11/1/2016,1.90220184,1.70959141,1.66022882,,1.75829573
12/1/2016,2.2917332,2.00056006,1.91950174,,1.95369171
1/1/2017,2.1027318,1.90844919,1.85598381,,1.92241681
2/1/2017,1.94277371,1.83305118,1.81186181,,1.92235723
3/1/2017,1.50314821,1.62156608,1.67685786,,1.88654098
4/1/2017,1.71866969,1.70730304,1.71382581,,1.85758237
5/1/2017,1.56480634,1.62428943,1.65713217,,1.84054543
6/1/2017,0.95868776,1.28483615,1.41050553,,1.73020088
7/1/2017,1.71215951,1.70031704,1.70623699,,1.84955694
8/1/2017,1.65217832,1.65485624,1.66457208,,1.81533850
9/1/2017,2.05780237,1.86086154,1.79780306,,1.84386995
10/1/2017,1.95269933,1.83747409,1.80623927,,1.89298914
11/1/2017,2.06917502,1.91037050,1.86359373,1.99,1.92496508
12/1/2017,2.82407476,2.30590212,2.13176410,2.06,2.01118703
1/1/2018,1.9048938,1.85533550,1.84740379,2.24,1.95641907
2/1/2018,2.13804094,2.03024294,2.00326161,2.20,2.07333165
